participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.total_round_num,player.transcribed_text,player.cmp_dst,player.completed,player.num_rounds,group.id_in_subsession,group.total_round_num,subsession.round_number,subsession.total_round_num,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,6,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,7,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,8,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,9,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,10,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,11,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,12,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,13,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,14,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,15,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,16,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,17,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,18,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,19,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,20,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,21,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,22,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,23,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,24,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,25,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,,,,0,0,1,,26,,07z21pup,,,,,1
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,,,,0,0,1,,27,,07z21pup,,,,,1
